Name,Rating,Reviews,Salary,Jobs,Location
Jindal Steel and Power,3.9,3.4k Reviews,14.3k Salaries,33 Jobs,Iron & Steel | Angul +157 other locations
PVR Inox,3.9,3.4k Reviews,9.2k Salaries,34 Jobs,Media & Entertainment | New Delhi +148 other locations
Subros,3.8,3.4k Reviews,11.9k Salaries,2 Jobs,Auto Components | Noida +80 other locations
Automatic Data Processing (ADP),4.0,3.4k Reviews,20.4k Salaries,24 Jobs,Software Product | Hyderabad / Secunderabad +38 other locations
Alembic Pharmaceuticals,4.0,3.4k Reviews,14.2k Salaries,85 Jobs,Pharma | Vadodara +174 other locations
RBL Bank,3.5,3.4k Reviews,17.3k Salaries,70 Jobs,Banking | Mumbai +257 other locations
Pidilite Industries,4.3,3.4k Reviews,10.3k Salaries,4 Jobs,Chemicals | Mumbai +283 other locations
State Street Corporation,3.6,3.3k Reviews,28.7k Salaries,1 Jobs,Financial Services | Bangalore / Bengaluru +31 other locations
Samvardhana Motherson Group,3.7,3.3k Reviews,12.2k Salaries,9 Jobs,Auto Components | Noida +87 other locations
Sodexo,4.1,3.3k Reviews,9.6k Salaries,1.3k Jobs,Facility Management Services | Mumbai +150 other locations
Godrej & Boyce Manufacturing,3.9,3.3k Reviews,15.1k Salaries,70 Jobs,Consumer Electronics & Appliances | Mumbai +146 other locations
Synechron,3.5,3.3k Reviews,26.1k Salaries,205 Jobs,IT Services & Consulting | Pune +31 other locations
Abbott,4.1,3.3k Reviews,11.1k Salaries,228 Jobs,Pharma | Mumbai +193 other locations
Maersk,4.1,3.3k Reviews,18.1k Salaries,61 Jobs,Logistics | Pune +46 other locations
Bharat Electronics,4.2,3.3k Reviews,12k Salaries,-- Jobs,Electronics Manufacturing | Bangalore / Bengaluru +78 other locations
Reliance Digital,4.1,3.2k Reviews,7.8k Salaries,-- Jobs,Retail | Mumbai +356 other locations
Birlasoft,3.6,3.2k Reviews,28.7k Salaries,7 Jobs,IT Services & Consulting | Pune +45 other locations
Dabur,3.9,3.2k Reviews,8.1k Salaries,15 Jobs,FMCG | New Delhi +296 other locations
Kogta Financial India Limited,4.7,3.2k Reviews,1.7k Salaries,83 Jobs,NBFC | Jaipur +236 other locations
Escorts Kubota Limited,4.1,3.2k Reviews,12.2k Salaries,5 Jobs,Automobile | Faridabad +143 other locations
Cogent E Services,3.2,3.2k Reviews,9.6k Salaries,1 Jobs,Noida +49 other locations
Aarti Industries,4.1,3.2k Reviews,13.7k Salaries,26 Jobs,Agro Chemicals | Bharuch +54 other locations
Kyndryl,4.0,3.2k Reviews,23k Salaries,78 Jobs,IT Services & Consulting | Bangalore / Bengaluru +33 other locations
Indian Oil Corporation,4.4,3.2k Reviews,7.3k Salaries,-- Jobs,Oil & Gas | New Delhi +291 other locations
PNB MetLife,3.4,3.2k Reviews,7.9k Salaries,319 Jobs,Insurance | New Delhi +380 other locations
Reliance Projects & Property Management Services,4.0,3.2k Reviews,7.1k Salaries,-- Jobs,IT Services & Consulting | Kolkata +580 other locations
Glenmark Pharmaceuticals,3.8,3.2k Reviews,11.3k Salaries,33 Jobs,Pharma | Mumbai +160 other locations
"NTT DATA, Inc.",4.0,3.2k Reviews,22k Salaries,50 Jobs,IT Services & Consulting | Bangalore / Bengaluru +31 other locations
Ipca Laboratories,3.9,3.2k Reviews,11.1k Salaries,31 Jobs,Pharma | Mumbai +149 other locations
Kotak Mahindara Life Insurance,3.7,3.2k Reviews,12k Salaries,3.2k Jobs,Insurance | Mumbai +236 other locations
Johnson Controls,3.5,3.1k Reviews,16.4k Salaries,202 Jobs,Industrial Automation | Pune +53 other locations
Aditya Birla Sun Life Insurance,4.0,3.1k Reviews,9.2k Salaries,-- Jobs,Insurance | Mumbai +444 other locations
Ford Motor,4.2,3.1k Reviews,14.3k Salaries,4 Jobs,Automobile | Chennai +125 other locations
Grasim Industries,4.0,3.1k Reviews,11.2k Salaries,1 Jobs,Building Material | Bharuch +207 other locations
JK Cement,4.1,3.1k Reviews,9.3k Salaries,-- Jobs,Building Material | New Delhi +297 other locations
KPIT Technologies,3.3,3.1k Reviews,21.3k Salaries,1 Jobs,Software Product | Pune +41 other locations
UBS,3.9,3.1k Reviews,29.7k Salaries,1 Jobs,Financial Services | Pune +19 other locations
24/7 Customer,3.5,3.1k Reviews,13.1k Salaries,45 Jobs,Software Product | Bangalore / Bengaluru +35 other locations
Alkem Laboratories,3.9,3.1k Reviews,9.3k Salaries,53 Jobs,Pharma | Mumbai +181 other locations
MRF Tyres,3.6,3.1k Reviews,11.7k Salaries,1 Jobs,Auto Components | Chennai +180 other locations
IGT Solutions,3.3,3.1k Reviews,12.8k Salaries,112 Jobs,IT Services & Consulting | New Delhi +47 other locations
Vishal Mega Mart,3.7,3k Reviews,6.2k Salaries,5 Jobs,Retail | New Delhi +350 other locations
Honda Motorcycle & Scooter,4.1,3k Reviews,10.6k Salaries,-- Jobs,Automobile | Gurgaon / Gurugram +264 other locations
Tata Capital,4.0,3k Reviews,9.9k Salaries,2k Jobs,NBFC | Mumbai +295 other locations
Hindustan Coca Cola Beverages,4.1,3k Reviews,7.2k Salaries,53 Jobs,Beverage | Bangalore / Bengaluru +241 other locations
